quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,asymmetric,mle,24,0.124139242,0.049840933,0.036732456,0.315060112,0.999114222,1,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,25,0.124139928,0.050106045,0.037280702,0.28035087,0.998904916,0.970194032,0.011465494,green,green,,1,,0.847888226
0.05,asymmetric,mle,26,0.124139077,0.050106045,0.036732456,0.292482153,0.999114174,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,27,0.124139093,0.050371156,0.036732456,0.28235621,0.999114184,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,28,0.124139051,0.050106045,0.036732456,0.292533877,0.999114161,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,29,0.124139169,0.050106045,0.036732456,0.292457519,0.999114171,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,igarch,RQ,0,0.126249353,0.050371156,0.040570175,0.835288616,0.997500318,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,1,0.126249512,0.050371156,0.040570175,0.819721398,0.99750108,0.910748281,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,2,0.126250804,0.050106045,0.040570175,0.747174948,0.997499214,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,3,0.126249364,0.050106045,0.040570175,0.872285259,0.997500345,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,4,0.12624934,0.050106045,0.040570175,0.875770834,0.997500251,0.970194032,0.067528408,green,green,,1,,0.962333106
0.05,igarch,RQ,5,0.126250411,0.050371156,0.040570175,0.760880397,0.997499189,0.910748281,0.067528408,green,green,,1,,0.962333106
